category_name, category_description,product_name, product_description,price,stock_quantity, inventory_quantity, location, order_date,total_amount, shipment_date,status
Acrylic Paints, High-quality paints for artists of all skill levels., Classic Acrylics Set, Professional acrylic paint set for artists.,25.99,100,100, Warehouse A,1/1/2024,2599,1/2/2024, Shipped
Watercolor Sets, Essential sets for beginners and professionals., Watercolor Professional Kit, Complete set for watercolor artists,45.95,50,50, Warehouse B,1/3/2024,2297.5,1/4/2024, Pending
Oil Paints, Richly pigmented paints for depth and texture., Premium Oil Paints, Oil paints with exceptional vibrancy,55.5,30,30, Warehouse C,1/5/2024,1665,1/6/2024, Delivered
Drawing Pencils, Precision tools for sketching and shading., Graphite Sketch Set, High-grade graphite pencils for sketching,12.95,200,200, Warehouse A,1/7/2024,2590,1/8/2024, Shipped
Canvas Supplies, Variety of sizes and textures for all media., Stretched Canvas 16x20, Pre-stretched canvas ready to paint,15.99,150,150, Warehouse B,1/9/2024,2398.5,1/10/2024, Pending
Brush Sets, Versatile brushes for different painting techniques., Detail Brush Pack, Fine brushes for detailed painting work,22.95,55,55, Warehouse C,1/11/2024,1261.75,1/12/2024, Delivered
Sculpting Tools, Durable tools for modeling and pottery work., Pottery Starter Kit, Complete kit for beginning potters,89.95,40,40, Warehouse A,1/13/2024,3598,1/14/2024, Shipped
Art Paper," High-grade papers for pastels, inks, and printmaking.", Artist's Sketchbook, High-quality paper for drawing and sketching,9.99,200,200, Warehouse B,1/15/2024,1998,1/16/2024, Pending
Easels, Sturdy and portable easels for studio and field use., Portable Wooden Easel," Lightweight, durable easel for artists on the move",22.99,75,75, Warehouse C,1/17/2024,1724.25,1/18/2024, Delivered
Ink Sets," Colorful inks for drawing, calligraphy, and crafting.", Sumi Ink Set, Traditional Japanese ink set for calligraphy and painting,18.99,50,50, Warehouse A,1/19/2024,949.5,1/20/2024, Shipped
Charcoal Sets, For expressive sketches and rich black tones., Premium Charcoal Sketch Set, High-quality charcoal for professional artists,14.95,80,80, Warehouse B,1/21/2024,1196,1/22/2024, Pending
Printmaking Supplies," Everything for etching, lithography, and screen printing.", Print Studio Kit, Comprehensive tools for screen and block printing,110,70,70, Warehouse C,1/23/2024,7700,1/24/2024, Delivered
Art Storage Solutions, Keep your supplies and works protected and organized., Art Supply Chest, Multi-layer chest for storing various art supplies,199.99,45,45, Warehouse A,1/25/2024,8999.55,1/26/2024, Shipped
Decorative Papers, Beautiful papers for collage and decorative arts., Patterned Paper Set, Assorted designs for scrapbooking and crafts,20.95,120,120, Warehouse B,1/27/2024,2514,1/28/2024, Pending
Crafting Kits, Kits for all ages to inspire creativity., Home Craft Kit, Everything needed for starting crafting at home,34.99,65,65, Warehouse C,1/29/2024,2274.35,1/30/2024, Delivered
Pastel Colors, Soft and oil pastels in a spectrum of colors., Soft Pastel Set, High-quality soft pastels for vibrant art,45.5,90,90, Warehouse A,1/31/2024,4095,2/1/2024, Shipped
Engraving Tools, Precision tools for detailed metal and woodwork., Professional Engraving Set, Complete set of engraving tools for detailed work,65.95,70,70, Warehouse B,2/2/2024,4616.5,2/3/2024, Pending
Graphic Tablets, Digital drawing tablets for artists and designers., Pro Graphic Tablet, High-resolution tablet for digital art and animation,299.99,30,30, Warehouse C,2/4/2024,8999.7,2/5/2024, Delivered
Airbrushing Gear, Airbrush kits and supplies for fine art and decoration., Complete Airbrush Kit, Professional airbrush set with compressor,149.95,25,25, Warehouse A,2/6/2024,3748.75,2/7/2024, Shipped
Art Sets, Complete art sets offering a range of media., Deluxe Art Set, Comprehensive art set with a variety of materials,189.99,50,50, Warehouse B,2/8/2024,9499.5,2/9/2024, Pending
Modeling Clays, From air-dry clays to polymer clays for sculpting., Air-Dry Clay Set, Easy-to-use air-dry clays for crafting,22.5,100,100, Warehouse C,2/10/2024,2250,2/11/2024, Delivered
